naslov,avtor,dolzina,zvrst,o_pisatelju
Požganica,Prežihov Voranc,512,roman,"Prežihov Voranc - Lovro Kuhar (1893-;1950)&nbsp;velja za najpomembnej&scaron;ega prozaista slovenskega socialnega realizma. Glavnina njegovih del, tako v novelistični kot v romaneskni zvrsti, je nastala v obdobju med obema vojnama. Bil je aktivno vpleten v družbene in politične preobrate, dejavno udeležen že v prvi svetovni vojni, nato je sodeloval pri agitaciji za slovensko stran v koro&scaron;kem plebiscitu in kasneje v evropskem komunističnem gibanju, zaradi česar je emigriral, večkrat pa je bil tudi zaprt. Temelj Prežihovega pripovednega sveta je posameznik kot del skupnosti, predvsem pa velja Prežih za pisatelja, ki je slovenskim bralcem odkril koro&scaron;ko pokrajino. Njegovi romani <em>Požganica</em>, <em>Jamnica </em>in <em>Doberdob </em>prikazujejo usode ljudi v času zgodovinskih premikov in predstavljajo spoj realističnega romana ter tradicije ljudskega pripovedni&scaron;tva."
Plima,Ana Schnabl,300,roman,"Ana Schnabl (1985) pi&scaron;e za revijo Literatura in za spletni literarni portal AirBeletrina, sodelovala je tudi s časopisom Dnevnik. Od leta 2016 je urednica Evropske revije za poezijo, knjige in kulturo. Po mnenju urednika Urbana Vovka sodi njena zgodba &raquo;Trittico&laquo; med najintrigantnej&scaron;e stvaritve zadnjih let.&nbsp;"
Izpovedi bleferja Felixa Krulla,Thomas Mann,426,roman,"Thomas Mann (1875-;1955), velikan nem&scaron;ke književnosti, družbeni kritik, filantrop, esejist in dobitnik Nobelove nagrade za literaturo. &Scaron;tudiju ekonomije, umetnostne zgodovine in književnosti je sledila kariera izjemno uspe&scaron;nega pisatelja, ki je podpisal romane Buddenbrookovi, Čarobna gora, Lotte v Weimarju: roman o Goetheju in Charlotte, Smrt v Benetkah. Redkokateri pisatelj je 20. stoletju dal tako izjemen oris dekadentnega me&scaron;čanstva, umetni&scaron;ke razklanosti, razdvojenosti med telesnostjo in duhom kot Mann. Ko so po Hitlerjevim prihodu na oblast nacisti javno sežigali tudi njegove knjige, se je umaknil v &Scaron;vico. Leta 1938 se je odselil v Ameriko, nato pa se dve leti pred smrtjo vrnil v &Scaron;vico."
Satanov tango,László Krasznahorkai,340,roman,"L&aacute;szl&oacute; Krasznahorkai (1954) je zaradi svojega prepoznavnega sloga kmalu zaslovel kot kultni pisec del, v katerih se edinstveno prepletajo postmodernizem in melanholija, predmetni svet in nadčutnost, eksistencializem in pretanjena metaforika. Susan Sontag ga je imenovala sodobni madžarski mojster apokalipse, W. G. Sebald pa je univerzalnost njegove vizije primerjal z Gogoljevimi Mrtvimi du&scaron;ami. Avtor je za svoja dela sicer prejel &scaron;tevilne domače in prestižne tuje literarne nagrade, med drugim nagrado Br&uuml;cke-Berlin (2010), Prima Primissima (2012), veliko nagrado Vilenice (2014), leta 2015 pa kot prvi Madžar tudi prestižno nagrado booker. Leta 2019 je prejel ameri&scaron;ko nagrado za književnost in leta 2021 avstrijsko državno nagrado za evropsko književnost. Leta 2024 je prejel mednarodno nagrado Prix Formentor. Zadnjih nekaj let je stalni kandidat za Nobelovo nagrado za književnost."
Rdeča kapica,Irena Svetek,344,roman,"<strong>Irena Svetek</strong> (1975) je doktorirala na Oddelku za primerjalno književnost in literarno teorijo na Filozofski fakulteti v Ljubljani. Za prvi roman <em>Od blizu </em>je leta 2004 prejela nagrado Slovenskega knjižnega sejma za prvenec in nominacijo za kresnika. Napisala je &scaron;e romana <em>Sedmi val </em>(2008) in <em>Zaspi, mala moja, zaspi </em>(2014), zadnja leta pa se ukvarja predvsem s scenaristiko; napisala je scenarije za celovečerni film, kratke filme, več nanizank in nadaljevank. Leta 2021 je izdala <em>Rdečo kapico</em>, prvo v seriji psiholo&scaron;kih kriminalk, ki je postala uspe&scaron;nica, po njej je napisala tudi scenarij za televizijsko serijo. Drugi roman iz serije je <em>Beli volk </em>(2022) in ga prav tako pričakujemo na malih zaslonih. <em>Črni princ</em> v velikem slogu zaključuje trilogijo."
Kleopatra in Frankenstein,Coco Mellors,428,roman,"Coco Mellors je britanska pisateljica, ki je s prvencem doživela izjemen medijski preboj. Trenutno z možem in novorojenčkom živi v Los Angelesu. Je tudi avtorica romana Blue sisters."
Sodnik,Jaume Cabré,528,roman,"Jaume Cabr&eacute; (1947)&nbsp;danes velja za enega najbolj cenjenih pisateljev tako med bralci kot med literarno kritiko. Najprej se je uveljavil kot avtor romanov, a svojo priljubljenost dolguje tudi dejstvu, da je v prvi polovici devetdesetih let zelo uspe&scaron;no sodeloval z domačo televizijsko hi&scaron;o, in sicer s priljubljenimi nanizankami. Njegova strma pot v sam vrh sodobne katalonske literature se je začela leta 1991 z objavo romana <em>Sodnik</em>, ki je požel bogato paleto literarnih nagrad. Velja omeniti tudi roman <em>Evnuhova senca </em>(1996, slovenski prevod 2006), ki so mu sledili &scaron;e zbirka kratke proze <em>Zimsko potovanje</em> (2001)&nbsp;in ponovno zelo odmevna romana <em>&Scaron;umenje Pamana</em> (2004, slovenski prevod 2010)&nbsp;in <em>Confiteor </em>(2011)&nbsp;ter spet prozna zbirka <em>Ko pade mrak</em> (2017)."
Veter z vzhoda,Tone Partljič,376,roman,"Tone Partljič, leta 1940 v Mariboru rojeni pisatelj, je začel dvajsetleten v &scaron;estdesetih letih pisati predvsem kraj&scaron;o socialno in satirično prozo. Ko se je odpravil v mestni gledali&scaron;ki svet, pa je napisal okoli trideset uspe&scaron;nih gledali&scaron;kih komedij, nekatere, <em>&Scaron;čuke pa ni</em>, <em>En dan resnice</em> in <em>Moj ata, socialistični kulak</em>, so igrali po vsej Jugoslaviji. Za <em>Kulaka </em>je prejel Grumovo nagrado, za ves komedijski opus pa Pre&scaron;ernovo nagrado za življenjsko delo -; gotovo zasluženo, saj je najteže nasmejati vedno nekam žalostne in malce jezne Slovence. Nekaj navdiha za komedijo je dobil tudi v času, ko je bil državni poslanec. Odkar je upokojen, pi&scaron;e obsežnej&scaron;e prozne knjige, najraje romane."
Ne bom se več drsal na bajerju,Lado Kralj,236,roman,"Lado Kralj (1938-2022) je&nbsp;za svojo zbirko kratke proze <em>Kosec koso brusi </em>(2010)&nbsp;prejel nagrado za najbolj&scaron;i prvenec in fabulo. Leta 2014 je objavil &scaron;e roman <em>Če dela&scaron; omleto</em>, leta 2022 pa svoj zadnji roman <em>Ne bom se več drsal na bajerju</em>. Kot avtor se je podpisal pod znanstvena dela <em>Ekspresionizem</em>, <em>Teorija drame </em>in <em>Primerjalni članki</em>, kot urednik pa pod <em>Zbrano delo Slavka Gruma </em>(1976) in <em>Zgodbe iz tridesetih let </em>(2010) Milene Mohorič. Po diplomi je &scaron;tudiral na univerzi New York University in bil dramaturg v avantgardnem gledali&scaron;ču The Performing Garage. Bil je soustanovitelj gledali&scaron;č Glej in Pekarna. Dru&scaron;tvo gledali&scaron;kih kritikov in teatrologov mu je leta 2020 podelilo nagrado za življenjsko delo."
Od daleč in blizu,Peter Zobec,185,roman,"Peter Zobec (1932, Ljubljana) je filmski ustvarjalec in prevajalec. V srbohrva&scaron;čino je prevajal slovenke pesnike, kot so Ciril Zlobec, Kajetan Kovič, Dane Zajc in Svetlana Makarovič. Prevajal je tudi prozo, esejistiko in dramatiko, dejaven je bil kot publicist in esejist. Je avtor trinajstih samostojnih kratkih filmov in dokumentarcev. Zobec je soavtor monografije o Bo&scaron;tjanu Hladniku. Leta 2006 je prejel Badjurovo nagrado za življenjsko delo."
Livia ali Živ pokopan,Lawrence Durrell,328,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
Triindevetdeset,Victor Hugo,428,roman,"Victor Hugo (1802-;1858), najvplivnej&scaron;i romantični pisatelj 19. stoletja in po mnenju mnogih največji francoski avtor vseh časov. Kot izjemen mislec je močno vplival na Francijo, predvsem z zagovarjanjem sočutja in pravičnosti. Njegova prva knjiga <em>Zadnji dnevi obsojenih</em> je humanitarni protest zoper smrtno kazen, slavo pa je dosegel z romanom Notredamski zvonar. Kot nasprotnik Napoleona je dolga leta preživel v izgnanstvu, po razglasitvi tretje republike pa je bil vnovič poslanec. V zgodovino se je zapisal tudi z vizionarskim nagovorom na mirovnem kongresu v Parizu leta 1849."
Kurji pastir,Feri Lainšček,324,roman,"Pisatelj, pesnik, dramatik in scenarist Feri Lain&scaron;ček (1959) živi in ustvarja v Murski Soboti. Njegova bibliografija obsega več kot 100 samostojnih knjižnih enot, med katerimi je 25 romanov, ki so večinoma že prevedeni v tuje jezike. Za svoja dela je prejel &scaron;tevilne nagrade: leta 1995 je za roman <em>Ki jo je megla prinesla</em> prejel nagrado Pre&scaron;ernovega sklada, leta 2021 pa Pre&scaron;ernovo nagrado za življenjsko delo. Kresnika je prejel dvakrat, leta 1992 za roman <em>Namesto koga roža cveti</em> in leta 2007 za roman <em>Muri&scaron;a</em>. Večernico je prejel leta 2001 za knjigo pravljic <em>Mislice</em>, desetnico leta 2012 za knjigo <em>Pesmi o Mi&scaron;ku in Belami&scaron;ki</em>. Z romanom <em>Kurji pastir</em> je bil znova uvr&scaron;čen med pet finalistov za nagrado kresnik. Feri Lain&scaron;ček je tudi slovenski pisatelj, čigar literarna dela so doživela največ filmskih adaptacij (Halgato, Moku&scaron;, Petelinji zajtrk, &Scaron;anghaj &hellip;)."
Norci pomorci,Goroslav Vukšić - Gogo,280,roman,"Goroslav Vuk&scaron;ić - Gogo (1967) se je po osnovni &scaron;oli vpisal na srednjo pomorsko. Od tretjega letnika so se ladje in leta vrstili kot po tekočem traku. Imel je občutek, da venomer plove. Na dopustu z dolgih plovb po svetu je doma delal na ramponu, v jugo vojski na patruljni ladji, kasneje zopet na čezoceankah, vmes na kočah volante. Ko ni bil fizično na morju, je na pomorski fakulteti o morju &scaron;tudiral. Po nepomembni prometni nesreči je v bolni&scaron;nici spoznal najbistrej&scaron;o in brez dvoma najlep&scaron;o žensko svojega življenja. Njuna sinova sta zrasla v ponosna moža in izjemna umetnika. Zdaj je pomor&scaron;čak v penzionu. Vsak dan znova, ko je sredi zaliva, čaka na dve stvari: 7-kilogramskega brancina in telefonski klic, ki bo naznanil prvega vnuka."
V Swannovem svetu,Marcel Proust,610,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Manifest: nikdar odnehati,Bernardine Evaristo,244,roman,"Bernardine Evaristo (1959) je avtorica osmih romanov, med katerimi je tudi Dekle, ženska, druga_i, za katerega je prejela nagrado booker in postala prva temnopolta avtorica, ki je doživela to priznanje. Leta 2020 je prejela prestižno britansko literarno nagrado za knjigo leta in nagrado Indie za najbolj&scaron;e leposlovno delo. Pi&scaron;e tudi kratko prozo, poezijo, eseje, literarno kritiko in dramo. Deluje tudi kot urednica, je članica več literarnih žirij in predsednica Royal Society of Literature, profesorica kreativnega pisanja na Univerzi Brunel v Londonu ter častna sodelavka Kolidža St. Anne v Oxfordu. Leta 2020 je bila sprejeta v Red britanskega imperija (OBE). Rojena je v Londonu, kjer živi &scaron;e danes."
Obstati,Stephen King,1496,roman,"Stephen E. King (1947) je kultni ameri&scaron;ki romanopisec in avtor kratkih zgodb, najbolj priljubljen pisatelj v žanru grozljivk s 350 milijoni prodanih knjig po vsem svetu, večino so jih prenesli na filmska platna in televizijske ekrane. Z neverjetno domi&scaron;ljijo in mojstrskim načinom napetega pripovedovanja opisuje domala vse plati člove&scaron;kih strahov in groze, s katerimi se v zapletenih in zahtevnih okoli&scaron;činah soočajo junaki z natančno psiholo&scaron;ko izdelanimi značajskimi potezami. Kingove pripovedi z realističnimi detajli in prepričljivimi zgodbami pritegnejo bralčevo pozornost in ga posrkajo v globine, ki jih globoko zakopane v podzavest v sebi nosi vsak od nas."
Meja,Kapka Kassabova,480,roman,"Kapka Kassabova (1973) je otro&scaron;tvo preživela v Bolgariji, leta 1992 se je z družino preselila na Novo Zelandijo, leta 2005 pa na &Scaron;kotsko. V svojih delih raziskuje odnose med kraji in ljudmi, geopolitična obrobja, stiči&scaron;ča in križi&scaron;ča kultur, najpogosteje na Balkanu. Poleg devetih proznih del, za katere je prejela kopico nagrad, je doslej izdala tudi &scaron;tiri zbirke poezije in redno objavlja v časopisih in revijah, denimo The Guardian in The Times Literary Supplement, njena dela pa so bila prevedena v več kot dvajset jezikov."
Lipitsch,Ana Marwan,168,roman,"Ana Marwan (1980) se je po &scaron;tudiju primerjalne književnosti na Filozofski fakulteti v Ljubljani leta 2005 preselila na Dunaj, kjer je leta 2008 prejela literarno nagrado Schreiben zwischen den Kulturen. Zadnjih &scaron;est let se posveča izključno pisanju dalj&scaron;ih in kraj&scaron;ih proznih besedil v nem&scaron;kem in slovenskem jeziku. Leta 2019 je pri avstrijski založbi Otto M&uuml;ller Verlag iz&scaron;el njen knjižni prvenec <em>Der Kreis des Weberknechts</em>. <em>Zabubljena</em> je njen drugi roman, ki je (drugače kot prvi) nastal v slovenskem jeziku. Avtorica je za roman prejela&nbsp;nagrado kriti&scaron;ko sito 2022.&nbsp;Za dvojezično knjižico Krota (Wechselkr&ouml;te) je avtorica Ana Marwan prejela prestižno nagrado Ingeborg Bachmann, eno izmed najpomembnej&scaron;ih literarnih nagrad v nem&scaron;kem prostoru."
Materinstvo,Sheila Heti,314,roman,"Sheila Heti (1976) je s svojima deloma&nbsp;<em>How Should a Person Be</em>&nbsp;in&nbsp;<em>Women in Clothes&nbsp;</em>prodrla med kriti&scaron;ko in bralsko najbolj ča&scaron;čene avtorice svoje generacije. Njeno zadnje delo,&nbsp;<em>Materinstvo</em>, ki bo tudi njen prvi prevod v sloven&scaron;čino, je revija New York razglasila za najbolj&scaron;i roman leta 2018, zna&scaron;la pa se je tudi na seznamu najbolj&scaron;ih knjig po mnenju New York Timesa, Times Literary Supplementa, Chicago Tribuna, Refinery29, Bookforuma in &scaron;tevilnih drugih medijev. Deležna je bila kriti&scaron;kega navdu&scaron;enja in je v manj kot enem letu po izidu že dosegla kultni status tako med bralci kot na teoretskem področju. Je knjiga, ki si upa prevpra&scaron;ati to, kar si predstavljamo pod pojmom roman, in je pripoved, ki pod vpra&scaron;aj postavlja vrednote, ki so jih bile ženske dolga stoletja primorane jemati za svoje.&nbsp;"
Čarobna koža,Honoré de Balzac,288,roman,"Honor&eacute; de Balzac (1799-;1850), začetnik francoskega realizma, pisatelj globokih &scaron;tudij člove&scaron;kih značajev in prodoren raziskovalec družbenih tokov. Nekaj časa je delal kot uradnik, se vpisal na pari&scaron;ko pravno fakulteto, iz upora proti očetu pa namesto pravnik postal pisatelj. Sprva je ob manku finančne podpore pisal trivialne romane. Med letoma 1830 in 1835 je izdal kar 40 romanov, ki so najprej izhajali kot podlistki v časopisih in mu že tako prina&scaron;ali slavo in denar. Znan in cenjen je bil že za časa življenja, veliko je zahajal v pari&scaron;ke salone in živel razko&scaron;no."
Uroki polne lune,Marjan Tomšič,344,roman,"Marjan Tom&scaron;ič (1939-2023) je bil slovenski pisatelj in kulturni delavec, ki je v letih svojega ustvarjanja&nbsp;obveljal za najizrazitej&scaron;ega predstavnika slovenske različice magičnega realizma, obenem pa je to avtor, ki je Istro postavil na slovenski literarni zemljevid. Napisal je deset romanov, je avtor več zbirk kratkih zgodb, mladinskih del in pravljic, radijskih iger in dramskih besedil. Za svoje delo je prejel &scaron;tevilne nagrade, med drugim nagrado Pre&scaron;ernovega sklada.&nbsp;"
"Tišina, polna vetra",Gabriela Babnik,432,roman,"Gabriela Babnik (1979) je diplomirala iz primerjalne književnosti in literarne teorije ter 2009 magistrirala iz nigerijskega modernega romana. Od leta 2002 se z ocenami in analizami literarnih del redno pojavlja v revijalni publicistiki. Za roman Koža iz bombaža (2007) je prejela nagrado Slovenskega knjižnega sejma za najbolj&scaron;i prvenec. Za roman Su&scaron;na doba, ki je preveden v več kot deset jezikov, je leta 2013 prejela nagrado Evropske unije, za svoje kriti&scaron;ko delo pa istega leta &scaron;e Stritarjevo nagrado. Poleg pisateljevanja tudi prevaja, večinoma afri&scaron;ke avtorje, in pi&scaron;e radijske igre."
Neverend,Aleš Šteger,464,roman,"Ale&scaron; &Scaron;teger (1973) je pesnik, pisatelj, urednik in pobudnik &scaron;tevilnih knjižnih in kulturnih pobud. Z več kot &scaron;estdeset prevedenimi izvirnimi knjigami v več kot dvajset jezikov in &scaron;tevilnimi uvrstitvami v mednarodne antologije je eden mednarodno najbolj prepoznavnih slovenskih avtorjev. Objavlja v mednarodno uglednih časopisih in revijah, kot so The New Yorker, Boston Review, Neue Z&uuml;rcher Zeitung, Lettre International. Njegovo ustvarjanje pogosto sega prek literarnih mej k drugim umetnostim, npr. slikarstvu, arhitekturi, glasbi, scenaristiki; tudi Na kraju zapisano je nastajalo na preseku različnih umetni&scaron;kih in družbenih praks. Je prejemnik slovenskih in mednarodnih nagrad, med njimi prestižne nagrade Horsta Bieneka (2016), ki jo za pesni&scaron;ki opus podeljuje Bavarska akademija lepih umetnosti,&nbsp;leta 2017 je postal redni član Nem&scaron;ke akademije za jezik in pesni&scaron;tvo, leta 2021 pa je prejel Pretnarjevo nagrado festivala Lirikonfest in nagrado Alfreda Kolleritscha mesta Gradec.&nbsp;"
Svet Guermantskih,Marcel Proust,884,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Zapiski iz mrtvega doma,Fjodor Mihajlovič Dostojevski,458,roman,"Fjodor Mihajlovič Dostojevski (1821-1881) je fanatični izpra&scaron;evalec vesti družbe in sebe, največji psiholog v literaturi, v vrhu ruske literature in eden najpomembnej&scaron;ih romanopiscev svetovne književnosti. Njegova dela opisujejo politične, socialne in duhovne razmere v času ruskega imperija, ki je v 19. stoletju začel razpadati. &Scaron;olal se je doma, pridružil se je skupini utopičnih socialistov, zaradi česar so ga poslali na prisilno delo v Sibirijo in pozneje v vojsko. Po vrnitvi je začel pisati, poročil se je, nekaj časa je bil urednik pri časopisu. Pri Beletrini je do sedaj iz&scaron;lo več del Dostojevskega: Nespodobna anekdota, Dnevnik pisatelja I in Dnevnik pisatelja II, Zapiski iz podtalja, Zapiski iz mrtvega doma, Mladenič."
Kolesar,Marko Radmilovič,432,roman,"Po značilnem romanju s &scaron;tajerskega podeželja v Ljubljano se je Marko Radmilovič sredi osemdesetih povezal z Radiem Slovenija. Sprva je bil novinar na Valu 202, kmalu je svojo strast do dokumentaristike uveljavil v Dokumentarno-feljtonskem uredni&scaron;tvu Prvega programa Radia Slovenija. Kup uspe&scaron;nih oddaj mu je odprl vrata televizije in z bratom Samom je ustanovil podjetje Kino Svečina, katerega filmografija &scaron;teje danes več kot sto naslovov. Na Valu 202 je medtem pomagal negovati satiro in po razpadu oddaje Stergo Ergo, v kateri je sodeloval z Markom Zorkom in Mirjam Možgan, nadaljeval samostojno, z oddajo Zapisi iz močvirja. Zanjo je prejel Ježkovo nagrado. Živi v rodni Svečini, Kolesar pa je njegov romaneskni prvenec."
Vojna in terpentin,Stefan Hertmans,387,roman,"Stefan Hertmans (1951) je eden izmed najvidnej&scaron;ih in najbolj profiliranih flamskih avtorjev, doma in v tujini nagrajevani pesnik, pisatelj in esejist z zavidljivim opusom ter predavatelj na najuglednej&scaron;ih evropskih univerzah. Stalni gost mednarodnih podijev domače in tuje bralce navdu&scaron;uje s svojimi eruditskimi, poetičnimi besedili, v katerih se pogosto dotika tem spominjanja, otro&scaron;tva ter odnosa med domi&scaron;ljijo in resničnostjo. Kljub že več kot tri desetletja trajajoči uspe&scaron;ni pisateljski karieri pa je avtor največji preboj zagotovo storil s svojim&nbsp;zadnjim romanom <em>Vojna in terpentin.</em>"
Vzporedne zgodbe,Péter Nádas,2040,roman,"P&eacute;ter N&aacute;das (1942)&nbsp;je pisatelj, dramatik in esejist. &Scaron;tudiral je novinarstvo in fotografijo ter nekaj časa deloval kot fotoreporter pri budimpe&scaron;kem časopisu <em>Pest megyei Hirlap</em>. Potovanja po svetu, zlasti v Berlin in New York, so imela nanj močan vpliv, v njegovi literaturi pa je močno sled pustila tudi selitev iz Budimpe&scaron;te najprej v vasico Kisoroszi na Szentendrejskem otoku sredi Donave, nato pa v Gombosszeg, ki leži v bližini Zalaegerszega, nedaleč od slovenske meje. Od leta 1969 se posveča izključno literaturi in velja za enega najpomembnej&scaron;ih svetovnih literatov."
Proslava,Damir Karakaš,112,roman,"Damir Karaka&scaron; (1967) je v zadnjem desetletju zanesljivo najbolj razvpit, prevajan in nagrajevan hrva&scaron;ki pisatelj. Njegovi romani <em>&Scaron;umenje gozda</em>, <em>Proslava</em> in <em>Obračali&scaron;če</em> nagovarjajo bralca z minucioznim, vendar taktnim in tehtnim slogom, ki ne zmanj&scaron;uje semantičnih dimenzij teksta. Karaka&scaron; se je rodil v vasi Pla&scaron;čica pri Brinju v Liki. Nekaj let je bil novinar črne kronike <em>Večernjega lista</em> v Splitu, že s svojimi prvimi romani pa je postal eden najbolj prepoznavnih hrva&scaron;kih avtorjev 21. stoletja. Je eden redkih hrva&scaron;kih pisateljev, ki tematizira življenje v Liki in se pogosto vrača k zgodovinskim turbulencam, ki so jo zaznamovale. Njegove knjige so prevedene v deset jezikov, prejel je vse vidnej&scaron;e hrva&scaron;ke nagrade, ki se podeljujejo za prozo. Njegova najbolj pomembna dela so <em>Kino Lika</em>, <em>&Scaron;umenje</em> <em>gozda</em>, <em>Proslava</em> in <em>Obračali&scaron;če</em>. Po Karaka&scaron;evih romanih je bilo posnetih več filmov, redno pa se prirejajo tudi za gledali&scaron;ke odre."
Nelagodje večera,Marieke Lucas Rijneveld,,roman,"Marieke Lucas Rijneveld (1991) je eno najopaznej&scaron;ih novih peres nizozemske književnosti. Njegova pesni&scaron;ka zbirka, objavljena leta 2015, je bila ovenčana z nagrado C. Buddingha za najbolj&scaron;i pesni&scaron;ki prvenec, časopis de Volkskrant pa jo je označil za literarni preboj leta. Leta 2018 je pri ugledni nizozemski založbi Atlas Contact objavil&nbsp;svoj prvi roman Nelagodje večera, ki je bil prav tako nagrajen in je postal prava uspe&scaron;nica. Za roman, ki z brutalno neposrednostjo in skozi nadrealistične podobe pripoveduje o posledicah družinske travme, deloma navdihnjene z avtobiografskim ozadjem in s smrtjo avtorjevega brata, je leta 2020 kot prvi nizozemski avtor prejel&nbsp;prestižno nagrado mednarodni booker."
Moto,Emil Filipčič,179,roman,"Emil Filipčič (1951) je slovenski pisatelj, pesnik, igralec, režiser in imitator, ki se je rodil v Beogradu. &Scaron;tudiral je na AGRFT, s svojimi deli pa se je uveljavil kot izjemno provokativen in unikaten avtor. Za roman Problemi (&Scaron;tudentska založba) je prejel nagrado Pre&scaron;ernovega sklada."
Pravzaprav krasno,Monica Heisey,332,roman,"Monica Heisey je kanadska pisateljica, scenaristka, esejistka in komičarka, ki trenutno živi v Londonu. Pisala je za časopise Guardian, New Yorker, New York Times in sodelovala pri scenarijih za več serij, med drugim za Baroness von Sketch, Dobrodo&scaron;li v Schitt&rsquo;s Creek in Workin&rsquo; Moms.&nbsp;"
Aleksandrijski kvartet,Lawrence Durrell,1445,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
22. 11. 1963,Stephen King,912,roman,"Stephen E. King (1947) je kultni ameri&scaron;ki romanopisec in avtor kratkih zgodb, najbolj priljubljen pisatelj v žanru grozljivk s 350 milijoni prodanih knjig po vsem svetu, večino so jih prenesli na filmska platna in televizijske ekrane. Z neverjetno domi&scaron;ljijo in mojstrskim načinom napetega pripovedovanja opisuje domala vse plati člove&scaron;kih strahov in groze, s katerimi se v zapletenih in zahtevnih okoli&scaron;činah soočajo junaki z natančno psiholo&scaron;ko izdelanimi značajskimi potezami. Kingove pripovedi z realističnimi detajli in prepričljivimi zgodbami pritegnejo bralčevo pozornost in ga posrkajo v globine, ki jih globoko zakopane v podzavest v sebi nosi vsak od nas."
Sebastian ali Prevlada Strasti,Lawrence Durrell,256,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
Zbiralec svetov,Ilija Trojanow,491,roman,"Ilija Trojanow (1965, Sofija, Bolgarija), je pisatelj in pravnik. Pisateljski prodor mu je uspel leta 2006 z romanom <em>Zbiralec</em> <em>svetov.</em> Živel in delal je na različnih koncih sveta, zaenkrat se je ustalil na Dunaju."
